,Bovespa,Dow Jones,Nasdaq,Selic,dolar_Compra,dolar_Venda,high,low,open,volume,close,adjclose,alvo,mdmv7,mdmv21
2007-03-06,43218.0,12207.58984375,2385.139892578125,12.93,2.1201,2.1209,3.327012062072754,3.253817081451416,3.253817081451416,1370599,3.2870869636535645,2.497342109680176,3.29374098777771,3.392316000802176,3.4358523232596263
2007-03-07,42667.0,12192.4501953125,2374.639892578125,12.93,2.1113,2.1121,3.3868980407714844,3.29374098777771,3.3868980407714844,225427,3.29374098777771,2.502397060394287,3.526632070541382,3.3448822838919505,3.4381019842057
2007-03-08,43466.0,12260.7001953125,2387.72998046875,12.69,2.1046,2.1054,3.526632070541382,3.32568097114563,3.32568097114563,1699723,3.526632070541382,2.6793344020843506,3.526632070541382,3.3356617178235735,3.452360607328869
2007-03-09,44133.0,12276.3203125,2387.550048828125,12.69,2.0975,2.0983,3.526632070541382,3.32568097114563,3.32568097114563,1699723,3.526632070541382,2.6793344020843506,3.7561960220336914,3.354673147201538,3.466619230452038
2007-03-12,44249.0,12318.6201171875,2402.2900390625,12.69,2.0894,2.0902,3.7994470596313477,3.726253032684326,3.7994470596313477,142770,3.7561960220336914,2.8537445068359375,3.65971302986145,3.4112323011670793,3.4856624262673512
2007-03-13,42749.0,12075.9599609375,2350.570068359375,12.68,2.0954,2.0962,3.7595229148864746,3.5532479286193848,3.646404981613159,462877,3.65971302986145,2.780441999435425,3.7195990085601807,3.4586660180773054,3.4967524778275263
2007-03-14,43288.0,12133.400390625,2371.739990234375,12.68,2.1036,2.1044,3.725588083267212,3.6384201049804688,3.6384201049804688,124736,3.7195990085601807,2.825939893722534,3.712280035018921,3.5385143075670515,3.5106942426590693
2007-03-15,43278.0,12159.6796875,2378.699951171875,12.68,2.0901,2.0909,3.726253032684326,3.646404981613159,3.726253032684326,12022,3.712280035018921,2.8203797340393066,3.658381938934326,3.5992561749049594,3.5291988168443953
2007-03-16,42730.0,12110.41015625,2372.659912109375,12.68,2.0907,2.0915,3.726253032684326,3.603153944015503,3.726253032684326,67628,3.658381938934326,2.779431104660034,3.5998260974884033,3.651347739355905,3.540225483122326
2007-03-19,43713.0,12226.169921875,2394.409912109375,12.68,2.0784,2.0792,3.65971302986145,3.5865180492401123,3.643078088760376,317101,3.5998260974884033,2.7349438667297363,3.593172073364258,3.661804028919765,3.54846377599807
2007-03-20,44351.0,12288.099609375,2408.2099609375,12.68,2.0755,2.0763,3.6889901161193848,3.5259668827056885,3.5998260974884033,516980,3.593172073364258,2.729888439178467,3.646404981613159,3.6713097436087474,3.545612017313639
2007-03-21,45631.0,12447.51953125,2455.919921875,12.68,2.0668,2.0676,3.6530590057373047,3.5599019527435303,3.6530590057373047,1319502,3.646404981613159,2.770331382751465,3.65971302986145,3.6556253092629567,3.543394020625523
2007-03-22,45424.0,12461.1396484375,2451.739990234375,12.68,2.0594,2.0602,3.726253032684326,3.65971302986145,3.726253032684326,590620,3.65971302986145,2.780441999435425,3.8260629177093506,3.6556253092629567,3.543394020625523
2007-03-23,45533.0,12481.009765625,2448.929931640625,12.68,2.0644,2.0652,3.8260629177093506,3.7062909603118896,3.725588083267212,1002400,3.8260629177093506,2.906825065612793,3.792793035507202,3.6708344391414096,3.5487805888766335
2007-03-26,45645.0,12469.0703125,2455.6298828125,12.68,2.0593,2.0601,3.859333038330078,3.726253032684326,3.859333038330078,96182,3.792793035507202,2.8815484046936035,3.7588579654693604,3.682336296354021,3.5579694906870523
2007-03-27,45207.0,12397.2900390625,2437.429931640625,12.68,2.0629,2.0637,3.859333038330078,3.726253032684326,3.859333038330078,428312,3.7588579654693604,2.855767011642456,3.7195990085601807,3.696690014430455,3.564306679226103
2007-03-28,44484.0,12300.3603515625,2417.10009765625,12.68,2.0708,2.0716,3.78946590423584,3.6397509574890137,3.78946590423584,371203,3.7195990085601807,2.825939893722534,3.710948944091797,3.7138004302978516,3.57042205901373
2007-03-29,45355.0,12348.75,2417.8798828125,12.68,2.0537,2.0545,3.792793035507202,3.681670904159546,3.726253032684326,470392,3.710948944091797,2.819368362426758,3.65971302986145,3.730625697544643,3.5855361961183094
2007-03-30,45805.0,12354.349609375,2421.639892578125,12.68,2.0496,2.0504000000000002,3.65971302986145,3.629770040512085,3.65971302986145,1239851,3.65971302986145,2.780441999435425,3.6264429092407227,3.7325268472943987,3.5997948192414784
2007-04-02,45597.0,12382.2998046875,2422.260009765625,12.68,2.047,2.0478,3.8127551078796387,3.6264429092407227,3.8127551078796387,275021,3.6264429092407227,2.7551653385162354,3.593172073364258,3.727773972920009,3.6140217667534236
2007-04-03,46288.0,12510.2998046875,2450.330078125,12.68,2.0364,2.0372,3.6883249282836914,3.593172073364258,3.6883249282836914,719865,3.593172073364258,2.729888439178467,3.699636936187744,3.6945038522992815,3.6346175330025807
2007-04-04,46554.0,12530.0498046875,2458.68994140625,12.68,2.0313,2.0321,3.7595229148864746,3.65971302986145,3.726253032684326,2147572,3.699636936187744,2.810774087905884,3.739561080932617,3.6811958381107877,3.6542627697899226
2007-04-05,46647.0,12560.2001953125,2471.340087890625,12.69,2.0325,2.0333,3.7854740619659424,3.6676979064941406,3.7854740619659424,619174,3.739561080932617,2.8411059379577637,3.792128086090088,3.678439140319824,3.675492298035395
2007-04-09,46855.0,12569.1396484375,2469.179931640625,12.68,2.0228,2.0236,3.792793035507202,3.776158094406128,3.792128086090088,897201,3.792128086090088,2.8810431957244873,3.686328887939453,3.688800437109811,3.688134965442476
2007-04-10,47174.0,12573.849609375,2477.610107421875,12.68,2.0274,2.0282,3.9245429039001465,3.65971302986145,3.792793035507202,1381119,3.686328887939453,2.800663471221924,3.6397509574890137,3.685283286230905,3.695739575794765
2007-04-11,46939.0,12484.6201171875,2459.31005859375,12.68,2.0325,2.0333,3.792128086090088,3.6071460247039795,3.6397509574890137,1639609,3.6397509574890137,2.7652766704559326,3.633096933364868,3.682431561606271,3.6901945727212087
2007-04-12,47347.0,12552.9599609375,2480.320068359375,12.68,2.0363,2.0371,3.646404981613159,3.6064810752868652,3.6397509574890137,153290,3.633096933364868,2.760221481323242,3.65971302986145,3.683382136481149,3.6889271395547047
2007-04-13,47926.0,12612.1298828125,2491.93994140625,12.68,2.0223,2.0231,3.712280035018921,3.6364240646362305,3.643078088760376,482414,3.65971302986145,2.780441999435425,3.6264429092407227,3.692887987409319,3.686075426283337
2007-04-16,48921.0,12720.4599609375,2518.330078125,12.68,2.0332,2.034,3.6796751022338867,3.593172073364258,3.65971302986145,922749,3.6264429092407227,2.7551653385162354,3.6064810752868652,3.682431697845459,3.6819879441034224
2007-04-17,48755.0,12773.0400390625,2516.949951171875,12.67,2.034,2.0348,3.6264429092407227,3.593172073364258,3.6264429092407227,471894,3.6064810752868652,2.739999771118164,3.5239710807800293,3.6634202684674944,3.6795164744059243
2007-04-18,48710.0,12803.83984375,2510.5,12.67,2.0357,2.0365,3.6064810752868652,3.4933619499206543,3.6064810752868652,223924,3.5239710807800293,2.6773126125335693,3.458760976791382,3.6251121248517717,3.675904330753145
2007-04-19,48762.0,12808.6298828125,2505.35009765625,12.43,2.0304,2.0312,3.474730968475342,3.433475971221924,3.460092067718506,3686491,3.458760976791382,2.62777042388916,3.5159859657287598,3.59260242325919,3.6695038023449125
2007-04-20,49408.0,12961.98046875,2526.389892578125,12.43,2.0254,2.0262000000000002,3.5599019527435303,3.5099968910217285,3.5279629230499268,1647123,3.5159859657287598,2.6712470054626465,3.516650915145874,3.5749217101505826,3.6632933730170842
2007-04-23,49162.0,12919.400390625,2523.669921875,12.43,2.0282,2.029,3.526632070541382,3.5099968910217285,3.5159859657287598,2276817,3.516650915145874,2.6717519760131836,3.547260046005249,3.558286564690726,3.6564808913639615
2007-04-24,49071.0,12953.9404296875,2524.5400390625,12.43,2.0377,2.0385,3.585853099822998,3.513324022293091,3.513324022293091,1018932,3.547260046005249,2.695007562637329,3.6796751022338867,3.5422218527112688,3.6432045641399564
2007-04-25,49676.0,13089.8896484375,2547.889892578125,12.43,2.0228,2.0236,3.6796751022338867,3.5479249954223633,3.5479249954223633,148782,3.6796751022338867,2.7956085205078125,3.792793035507202,3.549826451710292,3.637817995888846
2007-04-26,49068.0,13105.5,2554.4599609375,12.43,2.0244,2.0252,3.792793035507202,3.6796751022338867,3.692317008972168,894195,3.792793035507202,2.8815484046936035,3.8520140647888184,3.576442446027483,3.639433951604934
